date,cash,positions_value,total_value,positions_count,daily_return
2020-01-02,49468.60110553274,51078.00741195679,100546.60851748953,9,
2020-01-03,60240.998527957054,40514.109088897705,100755.10761685476,6,0.002073656212173036
2020-01-06,64011.63584485158,37099.41854095459,101111.05438580617,5,0.0035327913132203737
2020-01-07,68360.70342561098,33748.99391937256,102109.69734498354,4,0.00987669414826664
2020-01-08,65051.62438595286,36859.51821899414,101911.142604947,5,-0.0019445238326943892
2020-01-09,65199.669174401715,36673.24984741211,101872.91902181382,5,-0.0003750677517310175
2020-01-10,61731.62011135834,40197.222412109375,101928.84252346771,6,0.000548953560876253
2020-01-13,65345.25635120034,36484.99239349365,101830.24874469399,5,-0.0009672804706971627
2020-01-14,65935.90786138579,36841.97103500366,102777.87889638945,5,0.009305978953968008
2020-01-15,66111.95345267578,36372.67948150635,102484.63293418213,5,-0.002853201149470519
2020-01-16,62653.3554495219,39732.72729110718,102386.08274062908,6,-0.0009616094699420596
2020-01-17,66250.29508335456,36193.8751373291,102444.17022068366,5,0.0005673376546861952
2020-01-21,66465.00602988082,36233.68328380585,102698.68931368667,5,0.002484466343518843
2020-01-22,62962.88394446235,39586.33004283905,102549.2139873014,6,-0.0014554745282943093
2020-01-23,70307.10592687334,32738.54651737213,103045.65244424547,4,0.004840977689068771
2020-01-24,63428.4820003329,40084.665758132935,103513.14775846584,6,0.0045367786328813775
2020-01-27,63428.4820003329,40441.72881793976,103870.21081827267,6,0.0034494464475178788
2020-01-28,67178.55442775556,36598.248487472534,103776.8029152281,5,-0.0008992751849516978
2020-01-29,67193.48864745446,36737.59766292572,103931.08631038018,5,0.00148668479677605
2020-01-30,63714.0821029824,40073.57278633118,103787.65488931358,6,-0.001380062752719291
2020-01-31,67111.35534822165,37149.13252449036,104260.48787271201,5,0.004555772879758058
2020-02-03,67386.62204651166,37496.83822154999,104883.46026806165,5,0.005975153272927303
2020-02-04,67616.03591005491,36266.912172317505,103882.94808237242,5,-0.009539275145310055
2020-02-05,64148.21288274791,38913.98059844971,103062.19348119761,6,-0.007900763468168037
2020-02-06,67410.24648467226,35770.93057155609,103181.17705622835,5,0.001154483239796722
2020-02-07,67240.15492481008,36145.470863342285,103385.62578815236,5,0.0019814537666360543
2020-02-10,63807.137010705046,39695.756565093994,103502.89357579904,6,0.001134275550906505
2020-02-11,67015.17846066058,36052.08083343506,103067.25929409564,5,-0.004208909206817157
2020-02-12,75823.33587232613,26550.84204864502,102374.17792097115,4,-0.006724554217036327
2020-02-13,46413.20883417187,56374.13739776611,102787.34623193799,7,0.0040358645056548514
2020-02-14,56036.0577218214,46540.399909973145,102576.45763179455,6,-0.00205169807251937
2020-02-18,43423.68754457652,59591.394369125366,103015.08191370188,6,0.004276071644838897
2020-02-19,43423.68754457652,59649.11092376709,103072.79846834361,6,0.0005602728607261298
2020-02-20,47084.970803941054,56403.98462486267,103488.95542880372,5,0.004037505206457848
2020-02-21,43611.20168619884,60582.17032814026,104193.3720143391,6,0.006806683695053772
2020-02-24,43611.20168619884,61840.414251327515,105451.61593752635,6,0.012076045710605277
2020-02-25,46719.483588839044,60068.18893432617,106787.67252316521,5,0.012669854072510311
2020-02-26,43228.736965384975,63427.87173843384,106656.60870381881,6,-0.0012273309853997327
2020-02-27,46469.715631091065,62142.58476257324,108612.3003936643,5,0.018336338588041734
2020-02-28,43021.912659361056,65745.92023468018,108767.83289404123,6,0.0014319971109459928
2020-03-02,50231.3472543165,56838.49819946289,107069.84545377939,4,-0.015611117690613407
2020-03-03,53521.30912614267,54992.27670288087,108513.58582902353,3,0.013484098806020972
2020-03-04,76109.67362928395,30189.672456741333,106299.34608602528,3,-0.02040518453133655
2020-03-05,22284.163294915263,84449.35747814178,106733.52077305704,4,0.0040844530377486254
2020-03-06,89440.58200804076,18842.580444335938,108283.1624523767,1,0.0145187909861475
2020-03-09,18953.264603993295,91920.43803405762,110873.70263805092,4,0.023923758107947224
2020-03-10,8412.219921298734,98926.19309997559,107338.41302127432,3,-0.03188573604615352
2020-03-11,109387.26687915548,2888.255262374878,112275.52214153035,2,0.04599573425105041
2020-03-12,36658.6694416118,75215.54002761841,111874.2094692302,4,-0.003574355876023172
2020-03-13,64585.22142941181,40419.49192428589,105004.7133536977,3,-0.06140375112480134
2020-03-16,42526.54580678653,67264.01100158691,109790.55680837345,4,0.04557741554472061
2020-03-17,60055.69198127255,45676.179421424866,105731.8714026974,3,-0.03696752729617725
2020-03-18,45477.83934442492,62686.00814437866,108163.84748880359,4,0.02300135289238936
2020-03-19,17247.17121766481,91521.15673446655,108768.32795213137,3,0.00558856288271703
2020-03-20,108846.63162621991,2873.212926387787,111719.8445526077,2,0.02713580925667336
2020-03-23,35617.32983555335,75274.63021087646,110891.96004642981,4,-0.00741036213837587
2020-03-24,65850.06975712569,38718.32295227051,104568.3927093962,3,-0.057024579008126186
2020-03-25,35371.82777798599,68730.84661102295,104102.67438900894,4,-0.004453719793528044
2020-03-26,62037.35301071757,38142.849113464355,100180.20212418193,3,-0.037678880853431185
2020-03-27,35263.209642965776,64518.96123504639,99782.17087801217,4,-0.0039731527560342705
2020-03-30,58764.78463682646,38361.89294815064,97126.6775849771,3,-0.026612903584564473
2020-03-31,35570.59488917012,61191.12454986572,96761.71943903583,4,-0.0037575479262322853
