date,ticker,action,price,shares,value,reason,entry_date,entry_price,exit_price,cost,proceeds,pl,pl_pct,hold_days
2020-01-02,WDC,BUY,46.400353396296524,74,3433.626151325943,NEW_CANDIDATE,,,,,,,,
2020-01-02,AMD,BUY,46.536800971552154,76,3536.7968738379636,NEW_CANDIDATE,,,,,,,,
2020-01-02,MTCH,BUY,79.95141016234693,43,3437.910636980918,NEW_CANDIDATE,,,,,,,,
2020-01-02,SHOP,BUY,40.48644590771699,88,3562.807239879095,NEW_CANDIDATE,,,,,,,,
2020-01-02,APA,BUY,21.676288626105254,158,3424.85360292463,NEW_CANDIDATE,,,,,,,,
2020-01-02,TPL,BUY,237.4408033098609,14,3324.1712463380527,NEW_CANDIDATE,,,,,,,,
2020-01-02,SH,BUY,82.16352069167107,122,10023.94952438387,INVERSE_ETF_NEUTRAL_BEARISH,,,,,,,,
2020-01-02,PSQ,BUY,103.58966981656411,96,9944.608302390156,INVERSE_ETF_NEUTRAL_BEARISH,,,,,,,,
2020-01-02,RWM,BUY,31.956738040281287,308,9842.675316406636,INVERSE_ETF_NEUTRAL_BEARISH,,,,,,,,
2020-01-03,WDC,SELL,,74,,NEUTRAL_BEARISH_REDUCE,2020-01-02,46.400353396296524,48.01087813568116,3433.626151325943,3552.804982040406,119.17883071446295,3.4709320543950413,1.0
2020-01-03,AMD,SELL,,76,,NEUTRAL_BEARISH_REDUCE,2020-01-02,46.536800971552154,48.55139847564696,3536.7968738379636,3689.906284149169,153.10941031120547,4.329041666027555,1.0
2020-01-03,MTCH,SELL,,43,,NEUTRAL_BEARISH_REDUCE,2020-01-02,79.95141016234693,82.08572456359863,3437.910636980918,3529.6861562347412,91.7755192538234,2.6695143924514055,1.0
2020-01-06,TPL,SELL,,14,,TAKE_PROFIT,2020-01-02,237.4408033098609,269.33123692103794,3324.1712463380527,3770.637316894531,446.46607055647837,13.43089863521053,4.0
2020-01-07,SHOP,SELL,,88,,TAKE_PROFIT,2020-01-02,40.48644590771699,41.4374516078404,3562.807239879095,3646.4957414899554,83.68850161086038,2.348948342591231,5.0
2020-01-07,APA,SELL,,158,,TAKE_PROFIT,2020-01-02,21.676288626105254,26.818502916608537,3424.85360292463,4237.323460824149,812.469857899519,23.722761673833766,5.0
2020-01-07,WDC,BUY,47.76691380479328,74,3534.751621554703,NEW_CANDIDATE,,,,,,,,
2020-01-08,WDC,SELL,,74,,TAKE_PROFIT,2020-01-07,47.76691380479328,49.64762954711914,3534.751621554703,3673.924586486816,139.17296493211325,3.937277065903156,1.0
2020-01-08,APA,BUY,28.30154145647157,124,3509.3911406024745,NEW_CANDIDATE,,,,,,,,
2020-01-08,MTCH,BUY,82.70505917958238,42,3473.61248554246,NEW_CANDIDATE,,,,,,,,
2020-01-09,MTCH,SELL,,42,,TAKE_PROFIT,2020-01-08,82.70505917958238,86.14453604561942,3473.61248554246,3618.0705139160154,144.4580283735554,4.158726080551728,1.0
2020-01-09,WDC,BUY,51.02979008039937,68,3470.0257254671574,NEW_CANDIDATE,,,,,,,,
2020-01-10,MTCH,BUY,84.58656251325314,41,3468.0490630433787,NEW_CANDIDATE,,,,,,,,
2020-01-13,MTCH,SELL,,41,,TAKE_PROFIT,2020-01-10,84.58656251325314,88.13746926443918,3468.0490630433787,3613.636239842006,145.5871767986273,4.1979560886277545,3.0
2020-01-14,APA,SELL,,124,,TAKE_PROFIT,2020-01-08,28.30154145647157,33.46396778651646,3509.3911406024745,4149.532005528042,640.1408649255673,18.240795604666374,6.0
2020-01-14,PCG,BUY,11.191448098561656,318,3558.8804953426065,NEW_CANDIDATE,,,,,,,,
2020-01-15,PCG,SELL,,318,,TAKE_PROFIT,2020-01-14,11.191448098561656,11.57488831111363,3558.8804953426065,3680.8144829341345,121.93398759152797,3.4261894365685808,1.0
2020-01-15,ZS,BUY,60.42704985593338,58,3504.768891644136,NEW_CANDIDATE,,,,,,,,
2020-01-16,PCG,BUY,12.531152185340135,276,3458.598003153877,NEW_CANDIDATE,,,,,,,,
2020-01-17,ZS,SELL,,58,,TAKE_PROFIT,2020-01-15,60.42704985593338,62.016200583321705,3504.768891644136,3596.9396338326587,92.17074218852258,2.6298664773095495,2.0
2020-01-21,PCG,SELL,,276,,TAKE_PROFIT,2020-01-16,12.531152185340135,13.402178682599748,3458.598003153877,3699.0013163975304,240.40331324365343,6.950889147117732,5.0
2020-01-21,SMCI,BUY,2.855975713009233,1220,3484.2903698712644,NEW_CANDIDATE,,,,,,,,
2020-01-22,PCG,BUY,13.165872501573194,266,3502.1220854184694,NEW_CANDIDATE,,,,,,,,
2020-01-23,WDC,SELL,,68,,TAKE_PROFIT,2020-01-09,51.02979008039937,53.58595341273716,3470.0257254671574,3643.844832066127,173.81910659896948,5.009159019291387,14.0
2020-01-23,PCG,SELL,,266,,TAKE_PROFIT,2020-01-22,13.165872501573194,13.911192294529506,3502.1220854184694,3700.377150344849,198.25506492637942,5.6609981060294725,1.0
2020-01-24,PCG,BUY,13.583275546304527,257,3490.9018154002633,NEW_CANDIDATE,,,,,,,,
2020-01-24,PAYC,BUY,307.9747373763787,11,3387.722111140166,NEW_CANDIDATE,,,,,,,,
2020-01-28,PCG,SELL,,257,,TAKE_PROFIT,2020-01-24,13.583275546304527,14.591721507481166,3490.9018154002633,3750.0724274226595,259.1706120223962,7.424173629835532,4.0
2020-01-29,PAYC,SELL,,11,,TAKE_PROFIT,2020-01-24,307.9747373763787,323.2342878069196,3387.722111140166,3555.577165876116,167.85505473595003,4.954805891072837,5.0
2020-01-29,PCG,BUY,15.002724348208588,236,3540.642946177227,NEW_CANDIDATE,,,,,,,,
2020-01-30,ANET,BUY,14.619355228874202,238,3479.40654447206,NEW_CANDIDATE,,,,,,,,
2020-01-31,ANET,SELL,,238,,STOP_LOSS,2020-01-30,14.619355228874202,14.274257332938058,3479.40654447206,3397.273245239258,-82.13329923280207,-2.360554829768086,1.0
2020-02-03,PCG,SELL,,236,,TAKE_PROFIT,2020-01-29,15.002724348208588,15.90570594242641,3540.642946177227,3753.746602412633,213.1036562354061,6.018784143865469,5.0
2020-02-03,TSLA,BUY,43.48099880153284,80,3478.4799041226274,NEW_CANDIDATE,,,,,,,,
2020-02-04,TSLA,SELL,,80,,TAKE_PROFIT,2020-02-03,43.48099880153284,45.76550478254045,3478.4799041226274,3661.240382603236,182.76047848060853,5.254032897071054,1.0
2020-02-04,PCG,BUY,16.822679014999984,204,3431.826519059997,NEW_CANDIDATE,,,,,,,,
2020-02-05,TSLA,BUY,58.77666147977968,59,3467.823027307001,NEW_CANDIDATE,,,,,,,,
2020-02-06,TSLA,SELL,,59,,STOP_LOSS,2020-02-05,58.77666147977968,55.288705117361886,3467.823027307001,3262.0336019243514,-205.78942538264982,-5.934253961698248,1.0
2020-02-07,SMCI,SELL,,1220,,STOP_LOSS,2020-01-21,2.855975713009233,2.7398857934134346,3484.2903698712644,3342.66066796439,-141.6297019068743,-4.064807661598742,17.0
2020-02-07,TSLA,BUY,50.18217468323669,70,3512.7522278265683,NEW_CANDIDATE,,,,,,,,
2020-02-10,MRNA,BUY,22.886786094033557,150,3433.0179141050335,NEW_CANDIDATE,,,,,,,,
2020-02-11,MRNA,SELL,,150,,STOP_LOSS,2020-02-10,22.886786094033557,21.386942999703543,3433.0179141050335,3208.0414499555313,-224.97646414950214,-6.553314598946744,1.0
2020-02-12,PSQ,SELL,,96,,STOP_LOSS,2020-01-02,103.58966981656411,94.95477142333985,9944.608302390156,9115.658056640626,-828.9502457495291,-8.335675177375197,41.0
2020-02-12,PCG,SELL,,204,,STOP_LOSS,2020-02-04,16.822679014999984,15.896328708103725,3431.826519059997,3242.85105645316,-188.97546260683703,-5.5065563937246695,8.0
2020-02-12,GEN,BUY,18.491415111605406,192,3550.351701428238,NEW_CANDIDATE,,,,,,,,
2020-02-13,PCG,BUY,16.7820720165532,209,3507.453051459619,NEW_CANDIDATE,,,,,,,,
2020-02-13,TTD,BUY,30.5773753714546,114,3485.8207923458244,NEW_CANDIDATE,,,,,,,,
2020-02-13,PSQ,BUY,94.18845879978493,238,22416.853194348812,INVERSE_ETF_NEUTRAL_BEARISH,,,,,,,,
2020-02-14,SH,SELL,,122,,NEUTRAL_BEARISH_REDUCE,2020-01-02,82.16352069167107,78.8758105545044,10023.94952438387,9622.848887649536,-401.10063673433433,-4.001423149215112,43.0
2020-02-18,TSLA,SELL,,70,,TAKE_PROFIT,2020-02-07,50.18217468323669,55.17541013445174,3512.7522278265683,3862.2787094116215,349.52648158505326,9.950217348557898,11.0
2020-02-18,SH,BUY,77.71060795592689,212,16474.6488866565,INVERSE_ETF_NEUTRAL_BEARISH,,,,,,,,
2020-02-20,TTD,SELL,,114,,TAKE_PROFIT,2020-02-13,30.5773753714546,32.11651981898716,3485.8207923458244,3661.2832593645358,175.46246701871132,5.033605496989183,7.0
2020-02-21,TSLA,BUY,59.8925709955555,58,3473.7691177422194,NEW_CANDIDATE,,,,,,,,
2020-02-25,TSLA,SELL,,58,,STOP_LOSS,2020-02-21,59.8925709955555,53.59106728690011,3473.7691177422194,3108.2819026402067,-365.48721510201267,-10.521344473796276,4.0
2020-02-26,DPZ,BUY,349.0746623454068,10,3490.746623454068,NEW_CANDIDATE,,,,,,,,
2020-02-27,PCG,SELL,,209,,STOP_LOSS,2020-02-13,16.7820720165532,15.507074955531529,3507.453051459619,3240.9786657060895,-266.47438575352953,-7.597375698090579,14.0
2020-02-28,MRNA,BUY,25.923330614511343,133,3447.8029717300087,NEW_CANDIDATE,,,,,,,,
2020-03-02,DPZ,SELL,,10,,BEAR_STRONG_WEAK_EXIT,2020-02-26,349.0746623454068,324.4491823425293,3490.746623454068,3244.4918234252928,-246.2548000287752,-7.054502276796816,5.0
2020-03-02,MRNA,SELL,,133,,TAKE_PROFIT,2020-02-28,25.923330614511343,29.811599785940988,3447.8029717300087,3964.9427715301513,517.1397998001426,14.999111145282662,3.0
