ticker,entry_date,entry_price,side,setup_type,score,exit_date,exit_price,exit_reason,return_pct,return_R,hold_days,max_favorable,max_adverse,hit_stop
APP,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
TMO,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
HUM,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
STX,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
DOW,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
FICO,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
FCX,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
TECH,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
KMX,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
MSTR,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
COIN,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
MRNA,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
ALGN,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
BX,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
CMG,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
AXON,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
BAX,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
APD,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
ARE,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
CI,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
BIIB,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
STZ,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
AMGN,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
CHTR,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
AMGN,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
DECK,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
CSGP,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
DXCM,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
AES,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
CRL,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
GFS,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
IT,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
KKR,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
LYB,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
LULU,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
CPB,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
DHR,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
ZBRA,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
PFE,2025-10-04,,long,Unknown,,,,no_data,0.0,0.0,0,0.0,0.0,False
