date,cash,position_value,total_value,num_positions,sector_exposure,daily_return
2015-01-02,33358.812688791775,66142.13290119171,99500.94558998349,15,"{'Communication Services': 1, 'Industrials': 5, 'Health Care': 3, 'Information Technology': 3, 'Consumer Discretionary': 2, 'Technology': 1}",
2015-01-05,45774.12946254699,53053.028396606445,98827.15785915343,12,"{'Communication Services': 1, 'Industrials': 4, 'Health Care': 3, 'Consumer Discretionary': 1, 'Information Technology': 2, 'Technology': 1}",-0.006771671634222987
2015-01-06,76084.37413467512,21682.75112915039,97767.12526382551,5,"{'Communication Services': 1, 'Industrials': 2, 'Health Care': 1, 'Consumer Discretionary': 1}",-0.010726126484773113
2015-01-07,36491.42409233225,61709.30233001709,98200.72642234934,14,"{'Communication Services': 1, 'Industrials': 2, 'Consumer Discretionary': 2, 'Real Estate': 9}",0.0044350404837387725
2015-01-08,32071.457885108543,66818.31353712082,98889.77142222936,15,"{'Communication Services': 1, 'Industrials': 2, 'Consumer Discretionary': 2, 'Real Estate': 9, 'Information Technology': 1}",0.0070166996211058485
2015-01-09,32071.457885108543,66540.7669248581,98612.22480996663,15,"{'Communication Services': 1, 'Industrials': 2, 'Consumer Discretionary': 2, 'Real Estate': 9, 'Information Technology': 1}",-0.002806626087522135
2015-01-12,32071.457885108543,66790.9759144783,98862.43379958684,15,"{'Communication Services': 1, 'Industrials': 2, 'Consumer Discretionary': 2, 'Real Estate': 9, 'Information Technology': 1}",0.0025373019430641186
2015-01-13,62162.28706534052,36751.91401672363,98914.20108206416,8,{'Real Estate': 8},0.0005236294564856525
2015-01-14,55181.06709164055,44265.68714046478,99446.75423210533,10,"{'Real Estate': 8, 'Energy': 1, 'Information Technology': 1}",0.005383990814416428
2015-01-15,55181.06709164055,44292.7191529274,99473.78624456795,10,"{'Real Estate': 8, 'Energy': 1, 'Information Technology': 1}",0.0002718239792875998
2015-01-16,55181.06709164055,45001.314403533936,100182.38149517449,10,"{'Real Estate': 8, 'Energy': 1, 'Information Technology': 1}",0.007123437011479217
2015-01-20,32704.40023200088,67284.8618490696,99989.26208107048,15,"{'Real Estate': 8, 'Energy': 1, 'Information Technology': 2, 'Consumer Discretionary': 2, 'Health Care': 2}",-0.0019276784123294366
2015-01-21,37040.08423038127,63637.60890126228,100677.69313164355,14,"{'Real Estate': 8, 'Energy': 1, 'Information Technology': 2, 'Consumer Discretionary': 2, 'Health Care': 1}",0.006885049816798272
2015-01-22,64451.71977881321,38421.26092147827,102872.98070029149,8,"{'Real Estate': 4, 'Consumer Discretionary': 2, 'Information Technology': 1, 'Health Care': 1}",0.021805103994361863
2015-01-23,57458.20502398986,45578.96431350708,103037.16933749695,10,"{'Real Estate': 4, 'Consumer Discretionary': 2, 'Information Technology': 1, 'Health Care': 1, 'Materials': 1, 'Energy': 1}",0.0015960326617132647
2015-01-26,13248.385941662298,90440.35306167603,103688.73900333833,18,"{'Real Estate': 4, 'Consumer Discretionary': 2, 'Information Technology': 2, 'Health Care': 2, 'Materials': 1, 'Energy': 2, 'Industrials': 4, 'Technology': 1}",0.006323637091651513
