ticker,sector,entry_date,exit_date,entry_price,exit_price,shares,pl,pl_pct,hold_days,reason,entry_reason,action,date
SMCI,Information Technology,2015-01-02,2015-01-05,3.557401088093585,3.3614998885563443,1290,-252.71254740304084,-5.5068628666278565,3,STOP_LOSS,NEW_CANDIDATE,SELL,2015-01-05
NVR,Consumer Discretionary,2015-01-02,2015-01-05,1259.151426992362,1241.2199445452009,3,-53.79444734148365,-1.424092612116778,3,STOP_LOSS,NEW_CANDIDATE,SELL,2015-01-05
TSLA,Industrials,2015-01-02,2015-01-05,14.82704379672183,14.374000276838032,303,-137.27218652479132,-3.0555215597593697,3,STOP_LOSS,NEW_CANDIDATE,SELL,2015-01-05
UAL,Industrials,2015-01-02,2015-01-06,67.16911976655146,64.43928527832031,67,-182.89891071148668,-4.064121277335145,4,STOP_LOSS,NEW_CANDIDATE,SELL,2015-01-06
INCY,Health Care,2015-01-02,2015-01-06,73.36675531789801,69.9721429007394,61,-207.0713574466754,-4.626908199019794,4,STOP_LOSS,NEW_CANDIDATE,SELL,2015-01-06
PODD,Health Care,2015-01-02,2015-01-06,45.313858253708624,44.596430097307476,97,-69.59053117091116,-1.5832422663820056,4,STOP_LOSS,NEW_CANDIDATE,SELL,2015-01-06
AXON,Industrials,2015-01-02,2015-01-06,26.687007786312133,25.339999743870326,169,-227.64435917266565,-5.047430019984084,4,STOP_LOSS,NEW_CANDIDATE,SELL,2015-01-06
NOW,Information Technology,2015-01-02,2015-01-06,67.83038708071034,66.04714093889508,66,-117.6942453598067,-2.628978277380897,4,STOP_LOSS,NEW_CANDIDATE,SELL,2015-01-06
FFIV,Information Technology,2015-01-02,2015-01-06,130.67566153757016,127.94357245309013,34,-92.89102887232184,-2.090740580406061,4,STOP_LOSS,NEW_CANDIDATE,SELL,2015-01-06
FTNT,Technology,2015-01-02,2015-01-06,6.154018418799244,6.012285675321307,733,-103.89010096932816,-2.303092610918639,4,STOP_LOSS,NEW_CANDIDATE,SELL,2015-01-06
DXCM,Health Care,2015-01-02,2015-01-07,13.733718633207323,13.358749798366002,326,-122.23984015827045,-2.730278993299512,5,STOP_LOSS,NEW_CANDIDATE,SELL,2015-01-07
TKO,Communication Services,2015-01-02,2015-01-13,10.29987249667006,9.168596654891966,430,-486.4486119645808,-10.983396562858767,11,NEUTRAL_BEARISH_REDUCE,NEW_CANDIDATE,SELL,2015-01-13
DAL,Industrials,2015-01-02,2015-01-13,43.52217171140217,40.77373013305664,104,-285.83792414793606,-6.315037761834589,11,NEUTRAL_BEARISH_REDUCE,NEW_CANDIDATE,SELL,2015-01-13
EA,Consumer Discretionary,2015-01-02,2015-01-13,45.99584411512266,45.130925582885745,98,-84.76201615921764,-1.8804275666125758,11,NEUTRAL_BEARISH_REDUCE,NEW_CANDIDATE,SELL,2015-01-13
LUV,Industrials,2015-01-02,2015-01-13,38.06832034530103,35.868194412231446,119,-261.81498603528144,-5.779414256035503,11,NEUTRAL_BEARISH_REDUCE,NEW_CANDIDATE,SELL,2015-01-13
O,Real Estate,2015-01-07,2015-01-13,29.254719701204515,29.90925834274292,152,99.48987351383767,2.2373779281551487,6,NEUTRAL_BEARISH_REDUCE,NEW_CANDIDATE,SELL,2015-01-13
NVR,Consumer Discretionary,2015-01-07,2015-01-13,1267.287003813963,1295.5578831263952,3,84.81263793729613,2.2308190036944615,6,TAKE_PROFIT,NEW_CANDIDATE,SELL,2015-01-13
SMCI,Information Technology,2015-01-08,2015-01-13,3.2428218688361756,3.5097857117652893,1363,363.87171791238234,8.232454748583686,5,TAKE_PROFIT,NEW_CANDIDATE,SELL,2015-01-13
DXCM,Health Care,2015-01-20,2015-01-21,14.649013320906674,14.215357371738977,305,-132.26506449614772,-2.960308245121161,1,STOP_LOSS,NEW_CANDIDATE,SELL,2015-01-21
VTR,Real Estate,2015-01-07,2015-01-22,53.403651482837404,56.89891571044922,84,293.6021951193925,6.544991083119299,15,NEUTRAL_BEARISH_REDUCE,NEW_CANDIDATE,SELL,2015-01-22
ESS,Real Estate,2015-01-07,2015-01-22,152.21313230160106,162.22247232055665,29,290.27086054971187,6.575871521468124,15,NEUTRAL_BEARISH_REDUCE,NEW_CANDIDATE,SELL,2015-01-22
ARE,Real Estate,2015-01-07,2015-01-22,62.837225298638415,67.72003108978271,71,346.6792111712448,7.770562382311454,15,NEUTRAL_BEARISH_REDUCE,NEW_CANDIDATE,SELL,2015-01-22
WELL,Real Estate,2015-01-07,2015-01-22,50.51623922512501,54.03017858505249,87,305.71272431369016,6.956058910616138,15,NEUTRAL_BEARISH_REDUCE,NEW_CANDIDATE,SELL,2015-01-22
FANG,Energy,2015-01-14,2015-01-22,48.143794153325835,65.09506574358258,73,1237.4428260887425,35.20967112868426,8,TAKE_PROFIT,NEW_CANDIDATE,SELL,2015-01-22
SMCI,Information Technology,2015-01-14,2015-01-22,3.3887810366639117,3.5845429011753627,1023,200.26438739521473,5.776763455456812,8,TAKE_PROFIT,NEW_CANDIDATE,SELL,2015-01-22
EXR,Real Estate,2015-01-07,2015-01-28,42.38491074017751,45.37627401351929,108,323.06723352091285,7.057613714652023,21,BEAR_WEAK_REDUCE,NEW_CANDIDATE,SELL,2015-01-28
FRT,Real Estate,2015-01-07,2015-01-28,92.51049807085013,99.07723045349121,47,308.6364219841307,7.09836453113881,21,BEAR_WEAK_REDUCE,NEW_CANDIDATE,SELL,2015-01-28
BXP,Real Estate,2015-01-07,2015-01-28,89.7515149234172,93.65140255737305,50,194.99438169779205,4.345205356459466,21,BEAR_WEAK_REDUCE,NEW_CANDIDATE,SELL,2015-01-28
MAA,Real Estate,2015-01-07,2015-01-28,53.291072765308805,55.94415243530274,85,225.51177194948468,4.978469248832664,21,BEAR_WEAK_REDUCE,NEW_CANDIDATE,SELL,2015-01-28
NFLX,Consumer Discretionary,2015-01-20,2015-01-28,48.286314920286735,63.14536381530762,93,1381.8915472369426,30.77279539668929,8,BEAR_WEAK_REDUCE,NEW_CANDIDATE,SELL,2015-01-28
LULU,Consumer Discretionary,2015-01-20,2015-01-28,63.48822760256323,66.09384365844727,71,184.9987399677675,4.104093237875887,8,BEAR_WEAK_REDUCE,NEW_CANDIDATE,SELL,2015-01-28
ZBRA,Information Technology,2015-01-20,2015-01-28,84.58940895878243,84.0958203048706,54,-26.653787311239284,-0.5835111747291528,8,BEAR_WEAK_REDUCE,NEW_CANDIDATE,SELL,2015-01-28
IDXX,Health Care,2015-01-20,2015-01-28,79.33211188607561,80.98393743896484,56,92.50223096179707,2.0821651076947596,8,BEAR_WEAK_REDUCE,NEW_CANDIDATE,SELL,2015-01-28
NEM,Materials,2015-01-23,2015-01-28,18.774501799295557,18.979073598861696,184,37.64121112016937,1.0896257155213231,5,BEAR_WEAK_REDUCE,NEW_CANDIDATE,SELL,2015-01-28
FANG,Energy,2015-01-23,2015-01-28,53.621309450802556,51.39935866928101,66,-146.6487515804224,-4.1437831419618485,5,BEAR_WEAK_REDUCE,NEW_CANDIDATE,SELL,2015-01-28
REGN,Health Care,2015-01-26,2015-01-29,422.80189711040396,404.36439514160156,13,-239.68752559443146,-4.3607897918177825,3,STOP_LOSS,NEW_CANDIDATE,SELL,2015-01-29
