ticker,sector,entry_date,exit_date,entry_price,exit_price,shares,pl,pl_pct,hold_days,reason,entry_reason,action,date
ABBV,Health Care,2020-12-17,2020-12-23,86.39811753082274,84.90199726867675,17,-25.434044456481843,-1.7316584028723152,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
AKAM,Information Technology,2020-12-17,2020-12-23,105.7156106109619,106.95293756103517,14,17.32257730102583,1.1704297434620996,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
AON,Financials,2020-12-17,2020-12-23,203.76519187927244,200.08589241027832,7,-25.755096282958903,-1.805656518201624,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
T,Communication Services,2020-12-17,2020-12-23,15.999856286048887,15.498881318092346,93,-46.59067201995822,-3.131121673845073,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
BALL,Materials,2020-12-17,2020-12-23,86.84780077362059,86.32560580444336,17,-8.877314476012998,-0.6012759845679918,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
BRK-B,Financials,2020-12-17,2020-12-23,224.904672668457,224.01576548767093,6,-5.333443084716464,-0.39523731109689253,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
BMY,Health Care,2020-12-17,2020-12-23,51.53032635116577,50.16100475692749,29,-39.71032623291012,-2.6573120940603197,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
BRO,Financials,2020-12-17,2020-12-23,45.187972724914545,44.13179220199585,33,-34.85395725631679,-2.3373045065515003,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
CHRW,Industrials,2020-12-17,2020-12-23,82.3746736679077,83.54626817321777,18,21.0887010955812,1.4222751400913987,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
CHTR,Communication Services,2020-12-17,2020-12-23,654.6339604492186,646.7925624389649,2,-15.682796020507567,-1.1978293953575079,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
DHR,Health Care,2020-12-17,2020-12-23,195.0003322601318,191.2124962463379,7,-26.514852096557206,-1.9424766972914114,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
EA,Communication Services,2020-12-17,2020-12-23,136.420204208374,137.76364874267577,10,13.434445343017615,0.9847841396350113,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
EXPD,Industrials,2020-12-17,2020-12-23,89.35842656707763,89.63512866210938,16,4.427233520508025,0.30965417103001797,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
GRMN,Consumer Discretionary,2020-12-17,2020-12-23,107.01257583618163,108.24818032836914,14,17.298462890625387,1.1546348478509962,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
GEN,Information Technology,2020-12-17,2020-12-23,18.631506952285765,18.95603300285339,80,25.962084045409938,1.7418132167125133,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
ICE,Financials,2020-12-17,2020-12-23,106.20714474487303,105.42170207977297,14,-10.99619731140092,-0.7395384434699075,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
JNJ,Health Care,2020-12-17,2020-12-23,134.2593388366699,132.525712600708,11,-19.069888595581006,-1.2912518793727357,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
LIN,Materials,2020-12-17,2020-12-23,240.62808300781248,238.71557427978513,6,-11.475052368164143,-0.7947986386797853,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
RSG,Industrials,2020-12-17,2020-12-23,90.72069598388673,88.78266471862793,16,-31.008500244140805,-2.136261460784011,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
TYL,Information Technology,2020-12-17,2020-12-23,455.7352787780761,432.5570002441406,3,-69.53483560180666,-5.0859083361028095,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2020-12-23
T,Communication Services,2020-12-24,2021-01-05,15.497497625350952,15.773812677383424,96,26.526244995117167,1.7829656033014758,12,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-01-05
CHTR,Communication Services,2020-12-24,2021-01-05,657.1464802246093,635.9534368286132,2,-42.38608679199206,-3.2250105621432157,12,STOP_LOSS,NEW_CANDIDATE,SELL,2021-01-05
EA,Communication Services,2020-12-24,2021-01-05,138.33213314819335,137.5786837463379,10,-7.5344940185545966,-0.5446669437594079,12,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-01-05
GRMN,Consumer Discretionary,2020-12-24,2021-01-05,108.43785833740235,106.7357477416992,13,-22.127437744140707,-1.569664526578021,12,BEAR_STRONG_WEAK_EXIT,NEW_CANDIDATE,SELL,2021-01-05
ABBV,Health Care,2020-12-24,2021-01-06,85.05549053955077,86.79270568084716,17,29.532657402038467,2.0424491473464323,13,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-06
AKAM,Information Technology,2020-12-24,2021-01-06,107.56745908355711,101.42846878051758,13,-79.80687393951393,-5.707107293731685,13,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-06
AON,Financials,2020-12-24,2021-01-06,203.09982380676269,199.007991897583,7,-28.642823364257765,-2.014690033937604,13,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-06
BALL,Materials,2020-12-24,2021-01-06,87.18767124938964,86.38212119293213,17,-13.694350959777694,-0.9239265654353059,13,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-06
BRK-B,Financials,2020-12-24,2021-01-06,226.75652877807616,230.03973426818845,6,19.69923294067371,1.4478989900773784,13,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-06
BMY,Health Care,2020-12-24,2021-01-06,50.385028602600094,51.14132762145996,29,21.932671546936035,1.5010391773814233,13,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-06
BRO,Financials,2020-12-24,2021-01-06,44.82020801925659,45.61927112960815,33,26.369082641601608,1.7828188347725957,13,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-06
CHRW,Industrials,2020-12-24,2021-01-06,84.4900681991577,84.83791346740723,17,5.91336956024179,0.4116995945956459,13,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-06
DHR,Health Care,2020-12-24,2021-01-06,192.55155108642575,205.05946000671386,7,87.55536244201676,6.495875442038895,13,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-06
EXPD,Industrials,2020-12-24,2021-01-06,89.93812250518798,89.20834030151367,16,-11.676515258788868,-0.8114269937447356,13,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-06
GEN,Information Technology,2020-12-24,2021-01-06,19.066481287002556,18.919863916397095,78,-11.436154907225955,-0.7689797000215697,13,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-06
ICE,Financials,2020-12-24,2021-01-06,106.11298787689208,108.76722253417968,14,37.15928520202624,2.5013287349583657,13,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-06
JNJ,Health Care,2020-12-24,2021-01-06,133.25427593994138,139.40757202148438,11,67.68625689697296,4.617710042052481,13,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-01-06
