date,regime,score,prev_regime
2023-07-03,NEUTRAL_BEARISH,0.0,NEUTRAL_BULLISH
2023-07-05,BULL_WEAK,0.0,NEUTRAL_BEARISH
2023-10-26,NEUTRAL_BULLISH,0.0,BULL_WEAK
2023-10-31,BULL_WEAK,0.0,NEUTRAL_BULLISH
2023-11-02,NEUTRAL_BULLISH,0.0,BULL_WEAK
2023-11-03,BULL_WEAK,0.0,NEUTRAL_BULLISH
2024-03-15,NEUTRAL_BULLISH,0.0,BULL_WEAK
2024-03-21,BULL_WEAK,0.0,NEUTRAL_BULLISH
2024-03-22,NEUTRAL_BULLISH,0.0,BULL_WEAK
2024-03-25,BULL_WEAK,0.0,NEUTRAL_BULLISH
2024-06-25,NEUTRAL_BULLISH,0.0,BULL_WEAK
2024-06-26,BULL_WEAK,0.0,NEUTRAL_BULLISH
2024-06-27,NEUTRAL_BULLISH,0.0,BULL_WEAK
2024-06-28,BULL_WEAK,0.0,NEUTRAL_BULLISH
2024-07-05,NEUTRAL_BULLISH,0.0,BULL_WEAK
2024-08-28,BULL_WEAK,0.0,NEUTRAL_BULLISH
2025-02-25,NEUTRAL_BULLISH,0.0,BULL_WEAK
2025-04-03,NEUTRAL_BEARISH,0.0,NEUTRAL_BULLISH
2025-04-04,BEAR_WEAK,0.0,NEUTRAL_BEARISH
2025-04-09,NEUTRAL_BEARISH,0.0,BEAR_WEAK
2025-04-16,BEAR_WEAK,0.0,NEUTRAL_BEARISH
2025-04-23,NEUTRAL_BEARISH,0.0,BEAR_WEAK
2025-05-08,NEUTRAL_BULLISH,0.0,NEUTRAL_BEARISH
2025-05-13,BULL_WEAK,0.0,NEUTRAL_BULLISH
2025-07-03,BULL_STRONG,0.0,BULL_WEAK
2025-07-07,BULL_WEAK,0.0,BULL_STRONG
2025-09-23,NEUTRAL_BULLISH,0.0,BULL_WEAK
2025-09-24,BULL_WEAK,0.0,NEUTRAL_BULLISH
