date,cash,positions_value,total_value,positions_count,daily_return
2024-01-02,29153.28962132527,20646.508850097656,49799.798471422924,6,
2024-01-03,39542.78224021304,10199.883728027344,49742.665968240384,3,-0.0011472436623478632
2024-01-04,29345.441314628024,20615.30034637451,49960.74166100254,6,0.004384077300991329
2024-01-05,32861.555871076824,17210.2010345459,50071.75690562272,5,0.0022220495719109667
2024-01-08,33027.29225945033,17398.509674072266,50425.8019335226,5,0.007070753050810508
2024-01-09,33132.25121190431,17227.709411621094,50359.9606235254,5,-0.0013057067507621367
2024-01-10,33396.728000584684,17221.029907226562,50617.75790781125,5,0.005119092252931834
2024-01-11,30474.405018512625,20059.246063232422,50533.65108174505,6,-0.0016616071027757418
2024-01-12,34125.84107459521,16577.121856689453,50702.96293128467,5,0.0033504772743560007
2024-01-16,34213.6204304265,16531.975631713867,50745.596062140365,5,0.0008408410158096125
2024-01-17,30774.76901396674,19876.64144897461,50651.41046294135,6,-0.0018560349371733453
2024-01-18,34418.528624388055,16425.727577209473,50844.25620159753,5,0.0038073123116142416
2024-01-19,34036.03306168816,17138.52451324463,51174.55757493279,5,0.006496336027133953
2024-01-22,34274.65656081991,16918.626358032227,51193.282918852135,5,0.0003659112028848721
2024-01-23,34326.62507252702,16761.37501525879,51088.00008778581,5,-0.002056575102503455
2024-01-24,34419.15004509956,16465.026161193848,50884.17620629341,5,-0.0039896625654198825
2024-01-25,34372.86464967046,16826.2474899292,51199.11213959966,5,0.006189270551014703
2024-01-26,31168.083610146175,20010.73041534424,51178.814025490414,6,-0.0003964544161215722
2024-01-29,31168.083610146175,20056.973678588867,51225.05728873504,6,0.0009035626191258306
2024-01-30,31168.083610146175,19871.7041015625,51039.787711708675,6,-0.0036167763753210957
2024-01-31,34773.83003653778,16134.701072692871,50908.53110923065,5,-0.0025716525942350854
2024-02-01,34613.274076084854,16679.03890991211,51292.31298599696,5,0.007538655474911726
2024-02-02,34886.4503709919,16630.74712371826,51517.19749471016,5,0.004384370593203624
