date,ticker,action,price,shares,value,reason,entry_date,entry_price,exit_price,cost,proceeds,pl,pl_pct,hold_days
2024-01-02,AMD,BUY,148.11984189665063,23,3406.7563636229643,NEW_CANDIDATE,,,,,,,,
2024-01-02,MMM,BUY,87.17745382029109,40,3487.0981528116436,NEW_CANDIDATE,,,,,,,,
2024-01-02,AES,BUY,17.579691222041404,200,3515.9382444082808,NEW_CANDIDATE,,,,,,,,
2024-01-02,ABBV,BUY,144.52010538924065,24,3468.4825293417757,NEW_CANDIDATE,,,,,,,,
2024-01-02,AOS,BUY,80.82977992670008,44,3556.510316774804,NEW_CANDIDATE,,,,,,,,
2024-01-02,A,BUY,136.47699086861059,25,3411.924771715265,NEW_CANDIDATE,,,,,,,,
2024-01-03,AMD,SELL,,23,,STOP_LOSS,2024-01-02,148.11984189665063,142.08885803222657,3406.7563636229643,3268.043734741211,-138.71262888175306,-4.071692075280579,1.0
2024-01-03,ABBV,SELL,,24,,TAKE_PROFIT,2024-01-02,144.52010538924065,158.41463143484933,3468.4825293417757,3801.951154436384,333.46862509460834,9.61425125465146,1.0
2024-01-03,A,SELL,,25,,STOP_LOSS,2024-01-02,136.47699086861059,132.7799091884068,3411.924771715265,3319.49772971017,-92.42704200509479,-2.708941380282229,1.0
2024-01-04,AMD,BUY,133.95712329047018,25,3348.9280822617543,NEW_CANDIDATE,,,,,,,,
2024-01-04,ABT,BUY,104.90079978013608,33,3461.7263927444906,NEW_CANDIDATE,,,,,,,,
2024-01-04,ABBV,BUY,147.24723698168586,23,3386.686450578775,NEW_CANDIDATE,,,,,,,,
2024-01-05,AMD,SELL,,25,,TAKE_PROFIT,2024-01-04,133.95712329047018,140.644582257952,3348.9280822617543,3516.1145564488,167.18647418704586,4.992238414213233,1.0
2024-01-08,ABT,SELL,,33,,TAKE_PROFIT,2024-01-04,104.90079978013608,111.14410073416572,3461.7263927444906,3667.755324227469,206.02893148297835,5.951623788488859,4.0
2024-01-08,AMD,BUY,140.08075743415827,25,3502.018935853957,NEW_CANDIDATE,,,,,,,,
2024-01-09,AMD,SELL,,25,,TAKE_PROFIT,2024-01-08,140.08075743415827,143.8531463623047,3502.018935853957,3596.3286590576176,94.30972320366072,2.6930100873558978,1.0
2024-01-09,ABT,BUY,109.10530333136386,32,3491.3697066036434,NEW_CANDIDATE,,,,,,,,
