date,cash,position_value,total_value,num_positions,drawdown
2024-03-01,100000,0.0,100000.0,0,0.0
2024-03-04,100000,0.0,100000.0,0,0.0
2024-03-05,100000,0.0,100000.0,0,0.0
2024-03-06,100000,0.0,100000.0,0,0.0
2024-03-07,100000,0.0,100000.0,0,0.0
2024-03-08,100000,0.0,100000.0,0,0.0
2024-03-11,100000,0.0,100000.0,0,0.0
2024-03-12,100000,0.0,100000.0,0,0.0
2024-03-13,100000,0.0,100000.0,0,0.0
2024-03-14,100000,0.0,100000.0,0,0.0
2024-03-15,100000,0.0,100000.0,0,0.0
2024-03-18,100000,0.0,100000.0,0,0.0
2024-03-19,100000,0.0,100000.0,0,0.0
2024-03-20,100000,0.0,100000.0,0,0.0
2024-03-21,100000,0.0,100000.0,0,0.0
2024-03-22,100000,0.0,100000.0,0,0.0
2024-03-25,100000,0.0,100000.0,0,0.0
2024-03-26,100000,0.0,100000.0,0,0.0
2024-03-27,100000,0.0,100000.0,0,0.0
2024-03-28,100000,0.0,100000.0,0,0.0
